Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Roma;78310;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1918-02-01 00:00:00;1974-06-30 23:59:59;32.0;57.5069;18.4539

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1928-11-01 00:00:01;1928-12-01 00:00:00;1928-11;5.0;G
1928-12-01 00:00:01;1929-01-01 00:00:00;1928-12;-0.2;G
1929-01-01 00:00:01;1929-02-01 00:00:00;1929-01;-4.0;G
1929-02-01 00:00:01;1929-03-01 00:00:00;1929-02;-6.7;G
1929-03-01 00:00:01;1929-04-01 00:00:00;1929-03;0.6;G
1929-04-01 00:00:01;1929-05-01 00:00:00;1929-04;1.1;G
1929-05-01 00:00:01;1929-06-01 00:00:00;1929-05;10.2;G
1929-06-01 00:00:01;1929-07-01 00:00:00;1929-06;12.4;G
1929-07-01 00:00:01;1929-08-01 00:00:00;1929-07;15.5;G
1929-08-01 00:00:01;1929-09-01 00:00:00;1929-08;15.0;G
1929-09-01 00:00:01;1929-10-01 00:00:00;1929-09;12.8;G
1929-10-01 00:00:01;1929-11-01 00:00:00;1929-10;8.8;G
1929-11-01 00:00:01;1929-12-01 00:00:00;1929-11;4.6;G
1929-12-01 00:00:01;1930-01-01 00:00:00;1929-12;3.4;G
1930-01-01 00:00:01;1930-02-01 00:00:00;1930-01;2.1;G
1930-02-01 00:00:01;1930-03-01 00:00:00;1930-02;-0.6;G
1930-03-01 00:00:01;1930-04-01 00:00:00;1930-03;1.7;G
1930-04-01 00:00:01;1930-05-01 00:00:00;1930-04;6.1;G
1930-05-01 00:00:01;1930-06-01 00:00:00;1930-05;10.7;G
1930-06-01 00:00:01;1930-07-01 00:00:00;1930-06;15.7;G
1930-07-01 00:00:01;1930-08-01 00:00:00;1930-07;16.9;G
1930-08-01 00:00:01;1930-09-01 00:00:00;1930-08;16.2;G
1930-09-01 00:00:01;1930-10-01 00:00:00;1930-09;10.6;G
1930-10-01 00:00:01;1930-11-01 00:00:00;1930-10;8.5;G
1930-11-01 00:00:01;1930-12-01 00:00:00;1930-11;3.4;G
1930-12-01 00:00:01;1931-01-01 00:00:00;1930-12;0.7;G
1931-01-01 00:00:01;1931-02-01 00:00:00;1931-01;-1.2;G
1931-02-01 00:00:01;1931-03-01 00:00:00;1931-02;-1.9;G
1931-03-01 00:00:01;1931-04-01 00:00:00;1931-03;-3.5;G
1931-04-01 00:00:01;1931-05-01 00:00:00;1931-04;2.6;G
1931-05-01 00:00:01;1931-06-01 00:00:00;1931-05;11.0;G
1931-06-01 00:00:01;1931-07-01 00:00:00;1931-06;12.6;G
1931-07-01 00:00:01;1931-08-01 00:00:00;1931-07;15.6;G
1931-08-01 00:00:01;1931-09-01 00:00:00;1931-08;14.6;G
1931-09-01 00:00:01;1931-10-01 00:00:00;1931-09;9.3;G
1931-10-01 00:00:01;1931-11-01 00:00:00;1931-10;6.4;G
1931-11-01 00:00:01;1931-12-01 00:00:00;1931-11;3.8;G
