Från Datum Tid (UTC),Till Datum Tid (UTC),Representativ månad,Lufttemperatur,Kvalitet,Latitude,Longitude,,Tidsutsnitt:
01/10/1990 00:00,01/11/1990 00:00,1990-10,8.2,Y,57.6614,18.3428,,
01/11/1990 00:00,01/12/1990 00:00,1990-11,4.2,Y,57.6614,18.3428,,
01/12/1990 00:00,01/01/1991 00:00,1990-12,2,Y,57.6614,18.3428,,
01/01/1991 00:00,01/02/1991 00:00,1991-01,1.5,Y,57.6614,18.3428,,
01/02/1991 00:00,01/03/1991 00:00,1991-02,-1.4,Y,57.6614,18.3428,,
01/03/1991 00:00,01/04/1991 00:00,1991-03,2.2,Y,57.6614,18.3428,,
01/04/1991 00:00,01/05/1991 00:00,1991-04,4.9,Y,57.6614,18.3428,,
01/05/1991 00:00,01/06/1991 00:00,1991-05,7.5,Y,57.6614,18.3428,,
01/06/1991 00:00,01/07/1991 00:00,1991-06,11.5,Y,57.6614,18.3428,,
01/07/1991 00:00,01/08/1991 00:00,1991-07,17.5,Y,57.6614,18.3428,,
01/08/1991 00:00,01/09/1991 00:00,1991-08,17.4,Y,57.6614,18.3428,,
01/09/1991 00:00,01/10/1991 00:00,1991-09,12.3,Y,57.6614,18.3428,,
01/10/1991 00:00,01/11/1991 00:00,1991-10,8.3,Y,57.6614,18.3428,,
01/11/1991 00:00,01/12/1991 00:00,1991-11,4.6,Y,57.6614,18.3428,,
01/12/1991 00:00,01/01/1992 00:00,1991-12,2.4,Y,57.6614,18.3428,,
01/01/1992 00:00,01/02/1992 00:00,1992-01,2.1,Y,57.6614,18.3428,,
01/02/1992 00:00,01/03/1992 00:00,1992-02,1.6,Y,57.6614,18.3428,,
01/03/1992 00:00,01/04/1992 00:00,1992-03,2.6,Y,57.6614,18.3428,,
01/04/1992 00:00,01/05/1992 00:00,1992-04,3.7,Y,57.6614,18.3428,,
01/05/1992 00:00,01/06/1992 00:00,1992-05,11.9,Y,57.6614,18.3428,,
01/06/1992 00:00,01/07/1992 00:00,1992-06,16.1,Y,57.6614,18.3428,,
01/07/1992 00:00,01/08/1992 00:00,1992-07,17.4,Y,57.6614,18.3428,,
01/08/1992 00:00,01/09/1992 00:00,1992-08,16.4,Y,57.6614,18.3428,,
01/09/1992 00:00,01/10/1992 00:00,1992-09,12.2,Y,57.6614,18.3428,,
01/10/1992 00:00,01/11/1992 00:00,1992-10,4.8,Y,57.6614,18.3428,,
01/11/1992 00:00,01/12/1992 00:00,1992-11,3.9,Y,57.6614,18.3428,,
01/12/1992 00:00,01/01/1993 00:00,1992-12,2.2,Y,57.6614,18.3428,,
01/01/1993 00:00,01/02/1993 00:00,1993-01,1.5,Y,57.6614,18.3428,,
