Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Risungs;78490;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1933-02-01 00:00:00;1971-10-31 23:59:59;20.0;57.8166;18.9333

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1940-01-01 07:00:01;1940-02-01 07:00:00;1940-01;53.0;G
1940-02-01 07:00:01;1940-03-01 07:00:00;1940-02;48.0;G
1940-03-01 07:00:01;1940-04-01 07:00:00;1940-03;61.0;G
1940-04-01 07:00:01;1940-05-01 07:00:00;1940-04;15.0;G
1940-05-01 07:00:01;1940-06-01 07:00:00;1940-05;9.0;G
1940-06-01 07:00:01;1940-07-01 07:00:00;1940-06;3.0;G
1940-07-01 07:00:01;1940-08-01 07:00:00;1940-07;38.0;G
1940-08-01 07:00:01;1940-09-01 07:00:00;1940-08;106.0;G
1940-09-01 07:00:01;1940-10-01 07:00:00;1940-09;110.0;G
1940-10-01 07:00:01;1940-11-01 07:00:00;1940-10;57.0;G
1940-11-01 07:00:01;1940-12-01 07:00:00;1940-11;59.0;G
1940-12-01 07:00:01;1941-01-01 07:00:00;1940-12;45.0;G
1941-01-01 07:00:01;1941-02-01 07:00:00;1941-01;17.0;G
1941-02-01 07:00:01;1941-03-01 07:00:00;1941-02;60.0;G
1941-03-01 07:00:01;1941-04-01 07:00:00;1941-03;30.0;G
1941-04-01 07:00:01;1941-05-01 07:00:00;1941-04;11.0;G
1941-05-01 07:00:01;1941-06-01 07:00:00;1941-05;0.0;G
1941-06-01 07:00:01;1941-07-01 07:00:00;1941-06;41.0;G
1941-07-01 07:00:01;1941-08-01 07:00:00;1941-07;3.0;G
1941-08-01 07:00:01;1941-09-01 07:00:00;1941-08;98.0;G
1941-09-01 07:00:01;1941-10-01 07:00:00;1941-09;28.0;G
1941-10-01 07:00:01;1941-11-01 07:00:00;1941-10;48.0;G
1941-11-01 07:00:01;1941-12-01 07:00:00;1941-11;36.0;G
1941-12-01 07:00:01;1942-01-01 07:00:00;1941-12;76.0;G
1942-01-01 07:00:01;1942-02-01 07:00:00;1942-01;50.0;G
1942-02-01 07:00:01;1942-03-01 07:00:00;1942-02;12.0;G
1942-03-01 07:00:01;1942-04-01 07:00:00;1942-03;0.0;G
1942-04-01 07:00:01;1942-05-01 07:00:00;1942-04;19.0;G
1942-05-01 07:00:01;1942-06-01 07:00:00;1942-05;55.0;G
1942-06-01 07:00:01;1942-07-01 07:00:00;1942-06;12.0;G
1942-07-01 07:00:01;1942-08-01 07:00:00;1942-07;101.0;G
