Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stenstugu Försöksgård;78360;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1880-12-01 00:00:00;1993-03-01 23:59:59;45.0;57.5979;18.4507

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1969-11-01 06:00:01;1969-12-01 06:00:00;1969-11;73.0;Y
1969-12-01 06:00:01;1970-01-01 06:00:00;1969-12;12.5;Y
1970-01-01 06:00:01;1970-02-01 06:00:00;1970-01;21.5;Y
1970-02-01 06:00:01;1970-03-01 06:00:00;1970-02;7.0;Y
1970-03-01 06:00:01;1970-04-01 06:00:00;1970-03;51.3;Y
1970-04-01 06:00:01;1970-05-01 06:00:00;1970-04;75.8;Y
1970-05-01 06:00:01;1970-06-01 06:00:00;1970-05;6.1;Y
1970-06-01 06:00:01;1970-07-01 06:00:00;1970-06;14.8;Y
1970-07-01 06:00:01;1970-08-01 06:00:00;1970-07;86.4;Y
1970-08-01 06:00:01;1970-09-01 06:00:00;1970-08;18.8;Y
1970-09-01 06:00:01;1970-10-01 06:00:00;1970-09;37.4;Y
1970-10-01 06:00:01;1970-11-01 06:00:00;1970-10;81.7;Y
1970-11-01 06:00:01;1970-12-01 06:00:00;1970-11;123.3;Y
1970-12-01 06:00:01;1971-01-01 06:00:00;1970-12;32.0;Y
1971-01-01 06:00:01;1971-02-01 06:00:00;1971-01;26.6;Y
1971-02-01 06:00:01;1971-03-01 06:00:00;1971-02;47.3;Y
1971-03-01 06:00:01;1971-04-01 06:00:00;1971-03;54.9;Y
1971-04-01 06:00:01;1971-05-01 06:00:00;1971-04;18.0;Y
1971-05-01 06:00:01;1971-06-01 06:00:00;1971-05;10.6;Y
1971-06-01 06:00:01;1971-07-01 06:00:00;1971-06;31.5;Y
1971-07-01 06:00:01;1971-08-01 06:00:00;1971-07;23.9;Y
1971-08-01 06:00:01;1971-09-01 06:00:00;1971-08;22.9;Y
1971-09-01 06:00:01;1971-10-01 06:00:00;1971-09;22.1;Y
1971-10-01 06:00:01;1971-11-01 06:00:00;1971-10;29.8;Y
1971-11-01 06:00:01;1971-12-01 06:00:00;1971-11;58.5;Y
1971-12-01 06:00:01;1972-01-01 06:00:00;1971-12;42.7;Y
1972-01-01 06:00:01;1972-02-01 06:00:00;1972-01;14.5;Y
1972-02-01 06:00:01;1972-03-01 06:00:00;1972-02;24.6;Y
1972-03-01 06:00:01;1972-04-01 06:00:00;1972-03;22.6;Y
1972-04-01 06:00:01;1972-05-01 06:00:00;1972-04;29.2;Y
1972-05-01 06:00:01;1972-06-01 06:00:00;1972-05;46.0;Y
1972-06-01 06:00:01;1972-07-01 06:00:00;1972-06;8.5;Y
1972-07-01 06:00:01;1972-08-01 06:00:00;1972-07;12.3;Y
1972-08-01 06:00:01;1972-09-01 06:00:00;1972-08;95.5;Y
1972-09-01 06:00:01;1972-10-01 06:00:00;1972-09;77.9;Y
1972-10-01 06:00:01;1972-11-01 06:00:00;1972-10;38.1;Y
