Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hoburg D;68550;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2013-01-01 00:00:00;2019-06-01 15:00:00;38.0;56.922;18.1504
1880-01-01 00:00:00;2012-12-31 23:59:59;38.0;56.9222;18.1471

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1896-09-01 07:00:01;1896-10-01 07:00:00;1896-09;24.0;G
1896-10-01 07:00:01;1896-11-01 07:00:00;1896-10;64.0;G
1896-11-01 07:00:01;1896-12-01 07:00:00;1896-11;54.0;G
1896-12-01 07:00:01;1897-01-01 07:00:00;1896-12;71.0;G
1897-01-01 07:00:01;1897-02-01 07:00:00;1897-01;49.0;G
1897-02-01 07:00:01;1897-03-01 07:00:00;1897-02;64.0;G
1897-03-01 07:00:01;1897-04-01 07:00:00;1897-03;58.0;G
1897-04-01 07:00:01;1897-05-01 07:00:00;1897-04;29.0;G
1897-05-01 07:00:01;1897-06-01 07:00:00;1897-05;56.0;G
1897-06-01 07:00:01;1897-07-01 07:00:00;1897-06;11.0;G
1897-07-01 07:00:01;1897-08-01 07:00:00;1897-07;35.0;G
1897-08-01 07:00:01;1897-09-01 07:00:00;1897-08;31.0;G
1897-09-01 07:00:01;1897-10-01 07:00:00;1897-09;31.0;G
1897-10-01 07:00:01;1897-11-01 07:00:00;1897-10;13.0;G
1897-11-01 07:00:01;1897-12-01 07:00:00;1897-11;47.0;G
1897-12-01 07:00:01;1898-01-01 07:00:00;1897-12;23.0;G
1898-01-01 07:00:01;1898-02-01 07:00:00;1898-01;32.0;G
1898-02-01 07:00:01;1898-03-01 07:00:00;1898-02;46.0;G
1898-03-01 07:00:01;1898-04-01 07:00:00;1898-03;64.0;G
1898-04-01 07:00:01;1898-05-01 07:00:00;1898-04;19.0;G
1898-05-01 07:00:01;1898-06-01 07:00:00;1898-05;24.0;G
1898-06-01 07:00:01;1898-07-01 07:00:00;1898-06;33.0;G
1898-07-01 07:00:01;1898-08-01 07:00:00;1898-07;70.0;G
1898-08-01 07:00:01;1898-09-01 07:00:00;1898-08;18.0;G
1898-09-01 07:00:01;1898-10-01 07:00:00;1898-09;22.0;G
1898-10-01 07:00:01;1898-11-01 07:00:00;1898-10;16.0;G
1898-11-01 07:00:01;1898-12-01 07:00:00;1898-11;31.0;G
1898-12-01 07:00:01;1899-01-01 07:00:00;1898-12;75.0;G
1899-01-01 07:00:01;1899-02-01 07:00:00;1899-01;68.0;G
1899-02-01 07:00:01;1899-03-01 07:00:00;1899-02;44.0;G
1899-03-01 07:00:01;1899-04-01 07:00:00;1899-03;51.0;G
